Name,RA,Dec,parallax,parallax_err.,pmra,pmdec,App_Mag,Distance_ly
Theta Cephei,307.3957792,62.99404854,23.48103766,0.68938166,34.79791946,-13.90387425,4.1649013,136.47
Eta Cephei,311.3232063,61.84241929,69.59755396,0.1278597,85.99344104,818.4511252,3.1779127,46.53
Alderamin,319.6463369,62.58579605,,,,,2.428267,49.05
Alfirk,322.1650527,70.56071945,,,,,3.19459,685.22
Herschel's Garnet Star,325.8769443,58.78002783,0.119023584,0.26368567,3.439340957,-4.108339831,2.450726,5930.24
Nu Cephei,326.3621554,61.12079661,0.932088021,0.086510696,-3.545024455,-2.024904052,4.121482,6795.07
Zeta Cephei,332.7137698,58.20128528,3.297197892,0.14563556,13.35897554,5.274814744,2.8701382,836.32
Epsilon Cephei,333.7626126,57.04380277,38.15977025,0.24322695,423.1585059,52.69109794,4.1220145,85.45
Delta Cephei,337.2928847,58.41520817,3.555064233,0.14753917,14.55964275,3.237519523,3.8505998,883.91
Rho-2 Cephei/ Al kalb al rai,337.4708228,78.82419405,13.60374948,0.054390457,3.543434322,-20.84026462,5.442163,245.05
Iota Cephei,342.4193466,66.19984965,27.28689845,0.1309348,-65.94656791,-124.9670627,3.222498,115.29
Pi Cephei,346.9745073,75.38736051,12.14578326,0.56888556,2.463138242,-33.82943071,4.2604837,246.72
Gamma Cephei/ Alrai/Errai,354.8357808,77.63312481,72.5166921,0.14698927,-64.86017762,171.1586025,2.9429574,46
